id_starname,cks_steff,cks_steff_err1,cks_steff_err2,cks_smet,cks_smet_err1,cks_smet_err2,m17_kmag,m17_kmag_err,gaia2_sparallax,gaia2_sparallax_err,gdir_srad,gdir_srad_err1,gdir_srad_err2,giso_smass,giso_smass_err1,giso_smass_err2,giso_slogage,giso_slogage_err1,giso_slogage_err2,gaia2_gflux_ratio,fur17_rcorr_avg
K04674,5700, 60, -60,0.20,0.04,-0.04,12.026,0.013,1.542,0.014,1.178,0.028,-0.027,1.029,0.030,-0.030,9.87,0.08,-0.09,1.000,nan
K04686,5698, 60, -60,0.33,0.04,-0.04,10.674,0.018,1.757,0.024,1.943,0.052,-0.051,1.233,0.109,-0.019,9.75,0.03,-0.14,1.002,nan
K04693,5650, 60, -60,-0.27,0.04,-0.04,11.858,0.024,1.385,0.015,1.429,0.038,-0.037,0.874,0.014,-0.011,10.12,0.02,-0.02,1.000,nan
K04699,6115, 60, -60,0.05,0.04,-0.04,11.621,0.019,1.732,0.019,1.217,0.030,-0.029,1.122,0.031,-0.033,9.52,0.11,-0.15,1.003,1.0021
K04715,6150, 60, -60,-0.09,0.04,-0.04,12.536,0.031,0.705,0.022,1.975,0.080,-0.076,1.202,0.034,-0.027,9.65,0.03,-0.04,1.000,nan
K04716,6028, 60, -60,0.06,0.04,-0.04,10.982,0.021,2.056,0.023,1.381,0.035,-0.034,1.126,0.028,-0.039,9.70,0.08,-0.07,1.000,nan
K04717,5668, 60, -60,-0.26,0.04,-0.04,13.895,0.045,0.850,0.029,0.924,0.043,-0.040,0.836,0.032,-0.025,9.97,0.11,-0.18,1.000,nan
K04725,4825, 60, -60,-0.03,0.04,-0.04,11.192,0.020,4.039,0.014,0.724,0.020,-0.019,0.751,0.032,-0.023,9.84,0.21,-0.63,1.007,nan
K04744,5739, 60, -60,0.25,0.04,-0.04,12.272,0.025,1.118,0.016,1.440,0.041,-0.040,1.126,0.045,-0.044,9.82,0.08,-0.09,1.000,nan
K04745,4781, 60, -60,0.02,0.04,-0.04,13.815,0.045,1.271,0.035,0.697,0.030,-0.029,0.752,0.021,-0.023,9.67,0.32,-0.48,1.000,nan
K04763,5695, 60, -60,0.17,0.04,-0.04,12.516,0.026,0.795,0.017,1.826,0.060,-0.058,1.145,0.025,-0.026,9.83,0.03,-0.03,1.000,nan
K04765,6188, 60, -60,0.10,0.04,-0.04,12.104,0.018,1.280,0.014,1.312,0.032,-0.031,1.187,0.038,-0.029,9.45,0.10,-0.16,1.006,nan
K04771,6287, 60, -60,-0.08,0.04,-0.04,12.723,0.022,0.924,0.014,1.352,0.036,-0.035,1.139,0.029,-0.038,9.58,0.09,-0.08,1.000,nan
K04773,6191, 60, -60,-0.22,0.04,-0.04,12.044,0.019,0.857,0.015,2.069,0.059,-0.057,1.172,0.026,-0.020,9.65,0.03,-0.03,1.000,nan
K04774,5222, 60, -60,-0.02,0.04,-0.04,12.035,0.023,2.357,0.015,0.805,0.021,-0.021,0.842,0.030,-0.032,9.71,0.24,-0.48,1.011,1.0022
K04775,5210, 60, -60,0.47,0.04,-0.04,11.070,0.018,1.404,0.018,2.112,0.059,-0.057,1.229,0.013,-0.013,9.81,0.02,-0.02,1.001,1.0019
K04792,5902, 60, -60,0.07,0.04,-0.04,12.826,0.043,1.252,0.015,0.985,0.031,-0.030,1.047,0.025,-0.022,9.08,0.31,-0.45,1.079,1.0564
K04811,5572, 60, -60,0.05,0.04,-0.04,12.144,0.017,0.870,0.018,2.007,0.064,-0.062,1.130,0.024,-0.026,9.83,0.03,-0.03,1.068,nan
