id_koicand, koi_snr, det_prob, tr_prob, weight
K02949.02, 12.13, 0.673, 0.1174, 12.65
K04276.01, 12.61, 0.928, 0.0302, 35.72
K00304.01, 70.45, 0.977, 0.0483, 21.19
K00304.02, 5.16, 0.094, 0.0645, 165.41
K02071.01, 26.47, 0.800, 0.0747, 16.74
K03500.01, 27.38, 0.965, 0.0223, 46.52
K02001.01, 28.78, 0.697, 0.0423, 33.89
K00658.01, 77.45, 0.994, 0.1002, 10.05
K00658.02, 53.00, 0.987, 0.0704, 14.40
K00658.03, 17.02, 0.869, 0.0428, 26.89
K00305.01, 77.09, 0.970, 0.0609, 16.94
K05236.01, 13.85, 0.488, 0.0033, 619.55
K00306.01, 54.63, 0.943, 0.0217, 48.95
K00285.01, 113.80, 0.996, 0.0604, 16.63
K00285.02, 39.27, 0.962, 0.0388, 26.80
K00285.03, 21.85, 0.894, 0.0258, 43.44
K02829.01, 18.50, 0.945, 0.0631, 16.77
K02636.01, 18.34, 0.313, 0.0843, 37.91
K02252.01, 20.78, 0.981, 0.0740, 13.77
K04715.01, 8.93, 0.936, 0.0281, 38.06
K03436.01, 14.78, 0.533, 0.0140, 133.80
K02753.01, 22.70, 0.947, 0.2764, 3.82
K02608.01, 16.51, 0.865, 0.1239, 9.34
K00415.01, 223.81, 0.999, 0.0093, 107.65
K04302.01, 13.22, 0.799, 0.0982, 12.75
K00308.01, 55.89, 0.991, 0.0262, 38.52
K02857.01, 18.80, 0.942, 0.0390, 27.24
K02857.02, 14.80, 0.900, 0.0760, 14.62
K00661.01, 39.08, 0.959, 0.0348, 29.94
K00661.02, 11.30, 0.696, 0.0237, 60.65
K01128.01, 76.81, 0.959, 0.1905, 5.47
K00662.01, 73.78, 0.991, 0.0713, 14.15
K03503.01, 8.61, 0.618, 0.0369, 43.88
K03503.02, 9.37, 0.568, 0.0281, 62.56
K02408.01, 27.48, 0.865, 0.0099, 116.19
K00664.01, 40.80, 0.907, 0.0420, 26.24
K00664.02, 23.93, 0.788, 0.0596, 21.31
K00664.03, 11.82, 0.393, 0.0286, 89.03
K00176.01, 56.92, 0.977, 0.0285, 35.87
K00094.04, 12.99, 0.964, 0.1150, 9.02
K00094.02, 45.00, 0.997, 0.0581, 17.25
K00094.03, 49.83, 0.998, 0.0193, 51.80
K00094.01, 220.89, 1.000, 0.0350, 28.61
K02840.01, 19.14, 0.945, 0.1395, 7.59
K02840.02, 12.76, 0.891, 0.0872, 12.88
K01826.01, 63.26, 0.946, 0.0089, 118.78
K00372.01, 407.42, 0.999, 0.0078, 127.91
K00041.01, 37.15, 0.974, 0.0578, 17.75
K00041.02, 15.04, 0.896, 0.0875, 12.76
K00041.03, 9.42, 0.790, 0.0294, 43.06
K03117.01, 15.50, 0.490, 0.0594, 34.33
K04657.02, 9.29, 0.208, 0.0432, 111.22
K00157.02, 30.61, 0.990, 0.0291, 34.68
K00157.03, 33.57, 0.994, 0.0232, 43.47
K00157.04, 15.82, 0.966, 0.0180, 57.51
K00157.05, 17.70, 0.969, 0.0097, 106.57
K00157.06, 13.47, 0.957, 0.0493, 21.20
K00157.01, 31.04, 0.991, 0.0422, 23.95
K03287.01, 26.61, 0.939, 0.0196, 54.26
K00612.01, 36.30, 0.928, 0.0234, 46.03
K00612.02, 40.95, 0.918, 0.0135, 80.71
K03237.01, 39.80, 0.916, 0.0198, 55.13
K03438.01, 18.54, 0.795, 0.0401, 31.37
K02559.01, 17.57, 0.791, 0.0527, 24.00
K02838.01, 17.68, 0.898, 0.0865, 12.88
K02838.02, 14.55, 0.864, 0.1189, 9.73
K01692.01, 162.35, 0.993, 0.0572, 17.61
K01692.02, 18.74, 0.651, 0.1032, 14.89
K00561.01, 69.41, 0.969, 0.0582, 17.74
K00111.02, 56.78, 0.961, 0.0292, 35.67
K00111.03, 52.66, 0.951, 0.0173, 60.70
K00111.01, 75.14, 0.978, 0.0474, 21.57
K00665.02, 31.73, 0.979, 0.2380, 4.29
K00665.03, 23.69, 0.966, 0.1548, 6.69
K00665.01, 80.86, 0.997, 0.1006, 9.97
K00666.01, 80.93, 0.977, 0.0265, 38.64
K02906.01, 15.15, 0.888, 0.0581, 19.39
K02906.02, 10.10, 0.808, 0.0121, 102.05
K04651.01, 10.92, 0.663, 0.1808, 8.35
K04072.01, 25.12, 0.939, 0.3251, 3.28
K01375.01, 103.29, 0.998, 0.0067, 148.68
K02086.01, 26.25, 0.968, 0.0827, 12.48
K02086.02, 26.12, 0.971, 0.0713, 14.45
K02086.03, 13.04, 0.935, 0.0588, 18.17
K02678.01, 157.13, 0.966, 0.0714, 14.51
K04850.01, 9.76, 0.464, 0.0968, 22.27
K04674.01, 11.33, 0.675, 0.0872, 16.98
K00201.01, 1289.60, 1.000, 0.0794, 12.59
K00070.01, 75.87, 0.990, 0.0392, 25.79
K00070.02, 55.79, 0.982, 0.0803, 12.68
K00070.03, 24.53, 0.919, 0.0106, 103.08
K00070.05, 6.05, 0.405, 0.0264, 93.33
K00070.04, 6.93, 0.453, 0.0575, 38.37
K04188.01, 16.41, 0.585, 0.0594, 28.74
K00010.01, 914.62, 1.000, 0.1357, 7.37
K02087.01, 33.43, 0.728, 0.0261, 52.68
K04382.01, 13.42, 0.871, 0.1380, 8.32
K04382.02, 9.15, 0.730, 0.1129, 12.13
K01960.01, 44.87, 0.969, 0.0589, 17.52
K01960.02, 15.70, 0.899, 0.0312, 35.62
K03689.01, 311.59, 1.000, 0.0900, 11.11
K00670.01, 44.03, 0.988, 0.0755, 13.41
K00671.01, 32.31, 0.954, 0.0984, 10.65
K00671.02, 20.57, 0.901, 0.0673, 16.48
K00671.03, 14.61, 0.839, 0.0401, 29.75
K00671.04, 13.10, 0.785, 0.0516, 24.69
K04032.01, 19.98, 0.746, 0.1032, 12.99
K04032.02, 17.89, 0.670, 0.1271, 11.74
K04032.03, 19.18, 0.751, 0.0782, 17.02
K04032.04, 17.56, 0.696, 0.0871, 16.49
K03083.01, 10.83, 0.387, 0.0491, 52.70
K03083.02, 9.55, 0.319, 0.0681, 46.02
K03083.03, 8.09, 0.183, 0.0562, 97.21
K00672.01, 44.24, 0.965, 0.0304, 34.05
K00672.02, 59.14, 0.972, 0.0161, 63.81
K00673.01, 59.05, 0.985, 0.0945, 10.74
K04473.01, 10.19, 0.912, 0.0725, 15.13
K00369.01, 33.98, 0.889, 0.0754, 14.92
K00369.02, 28.79, 0.832, 0.0526, 22.86
K02687.01, 55.30, 0.652, 0.1389, 11.05
K02687.02, 45.73, 0.633, 0.0491, 32.18
K01379.01, 32.98, 0.901, 0.0700, 15.86
K01618.01, 18.48, 0.688, 0.1664, 8.73
K00238.01, 53.28, 0.988, 0.0412, 24.56
K00238.02, 11.59, 0.839, 0.0308, 38.70
K02561.01, 20.07, 0.919, 0.1305, 8.33
K01979.01, 40.86, 0.970, 0.1436, 7.18
K01862.01, 40.56, 0.912, 0.0137, 80.04
K00987.01, 53.59, 0.937, 0.0923, 11.55
K01353.01, 280.93, 1.000, 0.0083, 120.42
K01353.02, 18.33, 0.925, 0.0197, 54.97
K00373.01, 62.63, 0.862, 0.0081, 142.52
K00266.01, 57.39, 0.851, 0.0290, 40.55
K00266.02, 18.57, 0.514, 0.0190, 102.44
K00313.01, 72.51, 0.962, 0.0272, 38.19
K00313.02, 66.52, 0.949, 0.0463, 22.73
K00457.02, 49.66, 0.970, 0.0460, 22.40
K00457.01, 75.76, 0.981, 0.0585, 17.41
K00678.01, 40.65, 0.875, 0.0517, 22.13
K00678.02, 49.78, 0.900, 0.0665, 16.71
K00679.01, 42.63, 0.966, 0.0293, 35.39
K00679.02, 10.28, 0.644, 0.0458, 33.91
K00680.01, 781.00, 1.000, 0.0957, 10.45
K03097.01, 14.56, 0.747, 0.0637, 21.02
K03097.02, 11.93, 0.629, 0.0926, 17.16
K03097.03, 9.68, 0.506, 0.0786, 25.18
K04614.01, 10.58, 0.841, 0.0786, 15.12
K02631.01, 18.65, 0.881, 0.0272, 41.75
K00568.01, 31.01, 0.945, 0.0848, 12.47
K00568.02, 14.40, 0.738, 0.1079, 12.55
K03128.01, 14.94, 0.951, 0.0531, 19.81
K04160.01, 15.91, 0.742, 0.0966, 13.96
K00682.01, 217.57, 0.997, 0.0032, 312.46
K01706.01, 50.36, 0.959, 0.1194, 8.73
K00150.01, 85.90, 0.987, 0.0509, 19.91
K00150.02, 56.35, 0.970, 0.0225, 45.77
K00683.01, 81.62, 0.992, 0.0053, 190.60
K01898.01, 40.40, 0.946, 0.0728, 14.53
K02722.01, 33.26, 0.923, 0.0681, 15.91
K02722.02, 25.03, 0.879, 0.0454, 25.06
K02722.03, 24.61, 0.873, 0.0900, 12.73
K02722.04, 17.44, 0.772, 0.0530, 24.45
K02722.05, 11.77, 0.612, 0.0351, 46.57
K02585.01, 19.72, 0.725, 0.0836, 16.51
K02585.02, 13.76, 0.693, 0.0535, 26.95
K02585.03, 13.67, 0.510, 0.0645, 30.40
K03943.01, 28.40, 0.909, 0.0263, 41.75
K01528.01, 27.03, 0.886, 0.0747, 15.11
K00315.01, 91.96, 0.940, 0.0151, 70.33
K01921.01, 46.45, 0.985, 0.0452, 22.48
K01808.01, 68.33, 0.962, 0.0111, 93.83
K04482.01, 11.75, 0.410, 0.0827, 29.50
K04725.01, 11.88, 0.345, 0.0454, 63.93
K01533.01, 29.84, 0.887, 0.0636, 17.74
K02686.01, 86.30, 0.961, 0.0046, 225.58
K00171.01, 82.16, 0.997, 0.0845, 11.87
K00171.02, 23.40, 0.966, 0.0501, 20.65
K01818.01, 61.87, 0.972, 0.0280, 36.74
K01964.01, 35.62, 0.618, 0.1325, 12.21
K04699.01, 9.92, 0.554, 0.1185, 15.23
K03236.01, 11.32, 0.558, 0.0788, 22.74
K04582.01, 10.75, 0.007, 0.0810, 1864.72
K00686.01, 1136.37, 1.000, 0.0166, 60.41
K04773.01, 14.96, 0.934, 0.0981, 10.91
K02984.01, 14.99, 0.883, 0.0661, 17.12
K00092.01, 59.46, 0.954, 0.0136, 76.92
K00316.01, 64.16, 0.972, 0.0347, 29.68
K00316.02, 24.50, 0.861, 0.0075, 154.98
K00316.03, 31.93, 0.949, 0.0579, 18.19
K02352.01, 17.68, 0.559, 0.0526, 34.00
K02352.02, 24.47, 0.661, 0.0937, 16.14
K02352.03, 15.64, 0.583, 0.0726, 23.63
K00517.01, 155.41, 0.996, 0.0970, 10.35
K02674.02, 15.24, 0.886, 0.0701, 16.11
K02674.03, 26.44, 0.957, 0.1884, 5.55
K00155.01, 149.12, 0.999, 0.1102, 9.08
K00237.01, 76.62, 0.991, 0.0561, 18.00
K03245.01, 16.25, 0.694, 0.0584, 24.68
K00274.01, 14.49, 0.852, 0.0554, 21.18
K00274.02, 12.41, 0.799, 0.0421, 29.72
K01951.01, 37.90, 0.936, 0.0248, 43.12
K02426.01, 14.93, 0.534, 0.0805, 23.26
K02743.01, 19.52, 0.863, 0.0389, 29.79
K00318.01, 68.38, 0.999, 0.0280, 35.79
K02105.01, 25.48, 0.890, 0.0622, 18.07
K02720.01, 30.25, 0.840, 0.0924, 12.89
K00018.01, 820.96, 1.000, 0.1463, 6.83
K00572.01, 62.05, 0.997, 0.0678, 14.80
K00572.02, 19.78, 0.968, 0.1131, 9.13
K02593.01, 18.80, 0.732, 0.0480, 28.43
K04426.01, 7.65, 0.821, 0.0070, 174.40
K01809.01, 65.24, 0.960, 0.0377, 27.58
K01809.02, 73.55, 0.958, 0.0725, 14.39
K01726.01, 83.59, 0.911, 0.0138, 79.63
K01820.01, 62.86, 0.953, 0.0669, 15.69
K01820.02, 31.84, 0.868, 0.1272, 9.06
K04435.01, 11.59, 0.909, 0.0724, 15.19
K04435.02, 8.77, 0.854, 0.0520, 22.53
K01151.04, 12.14, 0.210, 0.0287, 165.99
K01151.05, 12.55, 0.238, 0.0248, 168.99
K01151.02, 26.83, 0.665, 0.0509, 29.58
K01151.03, 13.99, 0.296, 0.0640, 52.76
K01151.01, 38.00, 0.819, 0.0405, 30.16
K00260.01, 36.20, 0.918, 0.0602, 18.11
K00260.02, 32.01, 0.908, 0.0134, 82.43
K00260.03, 26.39, 0.869, 0.0369, 31.20
K03301.01, 10.83, 0.957, 0.0483, 21.64
K01145.01, 35.38, 0.965, 0.0227, 45.59
K04399.01, 18.70, 0.496, 0.0151, 132.97
K00122.01, 58.41, 0.992, 0.0576, 17.50
K00127.01, 994.55, 1.000, 0.0881, 11.36
K00689.01, 37.30, 0.927, 0.0307, 35.14
K00152.03, 20.54, 0.994, 0.0462, 21.77
K00152.04, 4.96, 0.945, 0.0140, 75.72
K00152.01, 50.86, 0.999, 0.0188, 53.33
K00152.02, 18.05, 0.992, 0.0288, 35.00
K00116.02, 27.11, 0.956, 0.0183, 57.29
K00116.03, 6.12, 0.565, 0.0675, 26.20
K00116.04, 4.91, 0.440, 0.0273, 83.37
K00116.01, 31.57, 0.975, 0.0399, 25.71
K04407.01, 11.50, 0.590, 0.2521, 6.73
K01148.01, 25.97, 0.935, 0.0489, 21.88
K01148.02, 12.95, 0.780, 0.0289, 44.34
K02730.01, 26.03, 0.922, 0.1042, 10.41
K04693.01, 10.20, 0.525, 0.0388, 49.05
K03197.01, 26.38, 0.779, 0.0284, 45.20
K00245.01, 131.39, 0.884, 0.0156, 72.41
K00245.02, 24.69, 0.121, 0.0237, 349.74
K00245.03, 4.60, 0.000, 0.0323, 7117158.76
K00691.01, 79.24, 0.992, 0.0332, 30.37
K00691.02, 17.60, 0.889, 0.0497, 22.65
K02016.01, 50.23, 0.994, 0.1048, 9.60
K04505.01, 11.69, 0.654, 0.0388, 39.40
K00370.01, 54.53, 0.990, 0.0299, 33.82
K00370.02, 19.16, 0.953, 0.0453, 23.17
K02389.01, 26.47, 0.897, 0.0370, 30.12
K00692.01, 34.60, 0.961, 0.1283, 8.11
K00692.02, 31.83, 0.979, 0.0819, 12.46
K02488.01, 20.72, 0.901, 0.0550, 20.17
