iso_steff,iso_slogg_err2,iso_steff_err1,iso_steff_err2,iso_slogage,iso_smass,iso_sparallax_err1,iso_sparallax_err2,id_starname,iso_sparallax,iso_srad,iso_smet_err1,iso_smet_err2,iso_smass_err2,iso_smass_err1,iso_slogg_err1,iso_srad_err1,iso_smet,iso_srad_err2,iso_slogg,iso_slogage_err1,iso_slogage_err2,iso_sage,iso_sage_err1,iso_sage_err2
5957.0,-0.099,65.0,-65.0,9.765,1.03,0.19,-0.23,K00124,1.82,1.18,0.045,-0.042,-0.035,0.045,0.078,0.17,-0.093,-0.11,4.301,0.063,-0.095,5.82103217771,0.908734385134,-1.14368076484
5600.0,-0.088,58.0,-67.0,9.8,1.04,0.15,-0.15,K00127,1.41,1.13,0.042,-0.042,-0.03,0.039,0.084,0.14,0.349,-0.1,4.348,0.12,-0.2,6.3095734448,2.00806426622,-2.32850173927
5669.0,-0.105,66.0,-67.0,9.912,1.051,0.16,-0.17,K00128,1.27,1.33,0.042,-0.043,-0.043,0.062,0.093,0.21,0.254,-0.15,4.209,0.075,-0.104,8.16582371359,1.53927595887,-1.73894654042
6235.0,-0.1,64.0,-62.0,9.434,1.34,0.14,-0.13,K00134,0.94,1.61,0.041,-0.042,-0.068,0.091,0.1,0.27,0.267,-0.21,4.15,0.058,-0.076,2.71643926884,0.388120319289,-0.436097196839
5951.0,-0.12,68.0,-66.0,9.566,1.233,0.15,-0.15,K00135,0.98,1.45,0.041,-0.043,-0.057,0.085,0.1,0.26,0.323,-0.19,4.21,0.057,-0.084,3.68128973643,0.516300103485,-0.647398552231
5440.0,-0.083,66.0,-65.0,9.94,0.953,0.18,-0.2,K00137,2.13,1.008,0.041,-0.042,-0.031,0.03,0.075,0.101,0.266,-0.075,4.408,0.13,-0.27,8.70963589956,3.03933964983,-4.03228448669
5899.0,-0.103,64.0,-63.0,9.683,1.121,0.17,-0.18,K00139,1.36,1.27,0.042,-0.039,-0.043,0.063,0.093,0.19,0.208,-0.14,4.277,0.092,-0.122,4.81947797625,1.13714345904,-1.18032761498
5322.0,-0.071,65.0,-63.0,9.99,0.926,0.15,-0.16,K00141,2.01,0.972,0.041,-0.042,-0.027,0.029,0.068,0.083,0.299,-0.064,4.426,0.12,-0.26,9.77237220956,3.11012330737,-4.40205424586
5464.0,-0.086,65.0,-65.0,9.93,0.956,0.2,-0.23,K00142,2.43,1.01,0.042,-0.042,-0.03,0.032,0.075,0.105,0.254,-0.075,4.408,0.13,-0.27,8.51138038202,2.97015583295,-3.94049848588
4937.0,-0.036,64.0,-66.0,9.98,0.833,0.14,-0.15,K00144,3.19,0.816,0.041,-0.041,-0.023,0.027,0.041,0.032,0.268,-0.029,4.534,0.16,-0.38,9.54992586021,4.25391678581,-5.56885415468
4958.0,-0.15,147.0,-70.0,9.553,1.396,0.103,-0.099,K00145,0.589,4.6,0.047,-0.065,-0.084,0.044,0.14,0.9,0.019,-0.7,3.25,0.069,-0.041,3.57272838152,0.61520726966,-0.321855407665
5242.0,-0.058,66.0,-66.0,9.98,0.89,0.19,-0.21,K00148,3.1,0.904,0.042,-0.042,-0.027,0.031,0.06,0.061,0.242,-0.049,4.473,0.14,-0.33,9.54992586021,3.63264152535,-5.0830899387
5706.0,-0.097,66.0,-64.0,9.883,1.081,0.2,-0.17,K00149,1.21,1.75,0.046,-0.041,-0.064,0.102,0.107,0.28,0.019,-0.25,3.99,0.091,-0.13,7.63835783578,1.78053812945,-1.97596494539
5507.0,-0.061,64.0,-66.0,9.98,0.786,0.15,-0.15,K00150,2.19,0.812,0.043,-0.043,-0.025,0.029,0.064,0.056,-0.386,-0.048,4.513,0.15,-0.32,9.54992586021,3.9397029657,-4.97904396407
6388.0,-0.084,63.0,-66.0,9.28,1.248,0.082,-0.103,K00152,1.009,1.3,0.043,-0.042,-0.03,0.036,0.062,0.15,0.057,-0.093,4.305,0.15,-0.34,1.90546071796,0.786074085964,-1.03449712801
4797.0,-0.027,65.0,-65.0,9.97,0.777,0.15,-0.15,K00153,3.85,0.756,0.041,-0.042,-0.019,0.024,0.034,0.023,0.121,-0.021,4.57,0.16,-0.41,9.33254300797,4.15708581795,-5.70176246027
5659.0,-0.14,67.0,-77.0,9.97,0.939,0.25,-0.27,K00155,1.53,1.28,0.05,-0.047,-0.046,0.07,0.11,0.27,-0.163,-0.18,4.2,0.066,-0.093,9.33254300797,1.5317132282,-1.79898737063
4666.0,-0.025,64.0,-65.0,9.95,0.75,0.14,-0.14,K00156,3.86,0.728,0.041,-0.042,-0.018,0.023,0.029,0.019,0.096,-0.017,4.589,0.18,-0.44,8.91250938134,4.57711944458,-5.67657281204
5763.0,-0.089,66.0,-65.0,9.904,1.005,0.17,-0.15,K00157,1.44,1.19,0.041,-0.041,-0.029,0.032,0.092,0.14,0.051,-0.12,4.291,0.072,-0.112,8.01678063388,1.44559097978,-1.82236988311
5997.0,-0.083,64.0,-64.0,9.63,1.07,0.15,-0.16,K00159,1.63,1.126,0.041,-0.043,-0.031,0.03,0.073,0.121,-0.018,-0.089,4.362,0.12,-0.26,4.26579518802,1.35761806389,-1.9215663727
5001.0,-0.045,64.0,-65.0,9.94,0.858,0.16,-0.17,K00161,3.4,0.84,0.042,-0.041,-0.024,0.027,0.044,0.039,0.317,-0.033,4.522,0.18,-0.4,8.70963589956,4.472931486,-5.24226739504
5862.0,-0.097,63.0,-62.0,9.728,1.103,0.16,-0.16,K00162,1.26,1.28,0.04,-0.042,-0.042,0.064,0.097,0.18,0.205,-0.15,4.269,0.099,-0.109,5.34564359397,1.36864493529,-1.18653748903
5040.0,-0.033,64.0,-64.0,9.94,0.715,0.14,-0.13,K00163,3.25,0.701,0.044,-0.044,-0.021,0.024,0.035,0.024,-0.361,-0.022,4.601,0.18,-0.42,8.70963589956,4.472931486,-5.39832468473
5161.0,-0.046,65.0,-65.0,9.97,0.779,0.13,-0.14,K00165,2.55,0.776,0.043,-0.043,-0.023,0.028,0.049,0.039,-0.187,-0.033,4.549,0.16,-0.39,9.33254300797,4.15708581795,-5.53064904476
5162.0,-0.046,64.0,-64.0,9.9,0.779,0.14,-0.15,K00166,2.95,0.765,0.043,-0.043,-0.024,0.028,0.045,0.037,-0.203,-0.03,4.562,0.2,-0.44,7.94328234724,4.6459717707,-5.05925084412
6218.0,-0.1,71.0,-62.0,9.526,1.242,0.17,-0.16,K00167,1.14,1.51,0.042,-0.04,-0.062,0.084,0.11,0.24,0.051,-0.2,4.17,0.065,-0.06,3.35737614243,0.542043724336,-0.433223764586
5801.0,-0.12,71.0,-68.0,9.836,1.05,0.21,-0.17,K00168,1.24,1.49,0.055,-0.049,-0.05,0.051,0.12,0.24,-0.073,-0.22,4.11,0.063,-0.07,6.85488226453,1.07013104028,-1.02043122179
6209.0,-0.102,68.0,-59.0,9.497,1.195,0.12,-0.15,K00171,1.13,1.31,0.043,-0.042,-0.037,0.054,0.084,0.2,0.064,-0.13,4.275,0.078,-0.197,3.14050869388,0.617865349008,-1.14524637891
5629.0,-0.088,64.0,-64.0,10.031,0.873,0.17,-0.17,K00172,1.62,1.046,0.044,-0.043,-0.028,0.03,0.085,0.124,-0.211,-0.097,4.337,0.059,-0.092,10.7398941234,1.56279358471,-2.05028983055
5672.0,-0.11,64.0,-63.0,9.992,0.975,0.17,-0.16,K00173,1.23,1.28,0.039,-0.033,-0.031,0.038,0.11,0.2,0.009,-0.16,4.21,0.062,-0.07,9.8174794302,1.50652420216,-1.46144924789
4742.0,-0.023,66.0,-64.0,10.02,0.687,0.15,-0.15,K00174,3.81,0.678,0.042,-0.043,-0.017,0.02,0.031,0.02,-0.256,-0.02,4.61,0.12,-0.36,10.4712854805,3.33255716552,-5.90040358436
6317.0,-0.086,66.0,-66.0,9.5,1.098,0.12,-0.14,K00176,1.36,1.169,0.044,-0.043,-0.03,0.032,0.073,0.127,-0.207,-0.091,4.342,0.13,-0.3,3.16227766017,1.10351752785,-1.57738446771
5742.0,-0.089,65.0,-66.0,9.85,0.983,0.19,-0.22,K00177,2.08,1.054,0.04,-0.043,-0.028,0.028,0.076,0.122,0.005,-0.083,4.382,0.1,-0.22,7.07945784384,1.8330515375,-2.81366265583
6219.0,-0.1,64.0,-64.0,9.464,1.381,0.13,-0.11,K00179,0.78,1.8,0.042,-0.042,-0.09,0.104,0.11,0.3,0.233,-0.26,4.07,0.053,-0.067,2.91071711807,0.377799190693,-0.416122391124
5647.0,-0.063,64.0,-66.0,9.53,0.981,0.13,-0.16,K00180,2.54,0.932,0.042,-0.042,-0.028,0.025,0.038,0.063,0.059,-0.038,4.492,0.29,-0.48,3.38844156139,3.21849291868,-2.26642310709
5802.0,-0.091,62.0,-63.0,9.75,1.053,0.083,-0.092,K00186,0.843,1.13,0.042,-0.042,-0.03,0.035,0.081,0.139,0.182,-0.099,4.351,0.12,-0.23,5.6234132519,1.78968916111,-2.31210203708
5459.0,-0.079,63.0,-64.0,9.92,0.917,0.082,-0.097,K00191,1.144,0.939,0.042,-0.041,-0.026,0.029,0.068,0.083,0.1,-0.061,4.454,0.17,-0.35,8.31763771103,3.9850499971,-4.60228542005
5628.0,-0.1,65.0,-65.0,9.91,1.064,0.09,-0.074,K00193,0.528,1.8,0.052,-0.038,-0.068,0.11,0.11,0.29,0.009,-0.26,3.96,0.1,-0.13,8.12830516164,2.10462476117,-2.1027093009
5535.0,-0.075,64.0,-66.0,9.89,0.871,0.083,-0.095,K00195,1.216,0.893,0.043,-0.044,-0.028,0.029,0.061,0.074,-0.161,-0.053,4.476,0.16,-0.3,7.76247116629,3.45771337673,-3.87201971634
4943.0,-0.032,65.0,-65.0,9.96,0.791,0.11,-0.11,K00197,2.67,0.773,0.042,-0.042,-0.021,0.027,0.038,0.026,0.025,-0.024,4.559,0.17,-0.4,9.12010839356,4.36952043236,-5.48932784586
5526.0,-0.101,69.0,-67.0,9.964,1.019,0.16,-0.15,K00201,1.28,1.26,0.043,-0.042,-0.034,0.047,0.096,0.17,0.348,-0.14,4.243,0.072,-0.104,9.20449571753,1.65976051864,-1.96013611678
5714.0,-0.067,64.0,-64.0,9.41,1.077,0.078,-0.101,K00203,1.371,1.035,0.043,-0.042,-0.029,0.027,0.041,0.081,0.31,-0.049,4.442,0.27,-0.47,2.57039578277,2.21590514046,-1.69943219281
6099.0,-0.1,60.0,-72.0,9.66,1.173,0.11,-0.1,K00209,0.75,1.51,0.039,-0.038,-0.05,0.082,0.1,0.23,0.03,-0.19,4.15,0.071,-0.09,4.57088189615,0.811815929014,-0.855529605177
5811.0,-0.13,69.0,-67.0,9.846,1.062,0.092,-0.09,K00211,0.575,1.55,0.03,-0.051,-0.044,0.054,0.11,0.28,-0.023,-0.21,4.09,0.063,-0.069,7.0145529842,1.09505759434,-1.0304370336
5481.0,-0.089,72.0,-66.0,9.943,1.003,0.16,-0.14,K00214,1.33,1.16,0.043,-0.043,-0.029,0.035,0.092,0.14,0.393,-0.12,4.312,0.089,-0.15,8.77000821144,1.99464392486,-2.56131786914
5918.0,-0.107,66.0,-65.0,9.784,1.026,0.11,-0.15,K00232,1.06,1.18,0.046,-0.044,-0.036,0.045,0.081,0.19,-0.074,-0.11,4.301,0.061,-0.09,6.08135001279,0.917069947236,-1.13824314292
5755.0,-0.104,64.0,-64.0,9.838,1.073,0.14,-0.15,K00237,1.08,1.31,0.041,-0.043,-0.045,0.075,0.096,0.2,0.233,-0.15,4.232,0.087,-0.119,6.88652296344,1.52742845301,-1.65051859759
6154.0,-0.1,67.0,-66.0,9.61,1.11,0.11,-0.13,K00238,1.05,1.25,0.045,-0.045,-0.037,0.052,0.082,0.18,-0.072,-0.12,4.287,0.076,-0.137,4.07380277804,0.77908222358,-1.1021367463
4970.0,-0.024,64.0,-66.0,10.01,0.68,0.11,-0.1,K00241,2.71,0.673,0.044,-0.043,-0.017,0.02,0.033,0.02,-0.443,-0.02,4.613,0.13,-0.35,10.2329299228,3.57091272322,-5.66204802666
6279.0,-0.091,65.0,-64.0,9.476,1.173,0.43,-0.49,K00244,4.38,1.27,0.042,-0.042,-0.037,0.045,0.076,0.16,-0.041,-0.11,4.296,0.09,-0.225,2.99226463661,0.689025099817,-1.20988586916
5346.0,-0.062,63.0,-65.0,9.81,0.812,0.8,-0.97,K00245,15.87,0.791,0.044,-0.043,-0.027,0.029,0.044,0.049,-0.236,-0.032,4.552,0.25,-0.44,6.45654229035,5.02499392462,-4.11231347503
5792.0,-0.103,67.0,-65.0,9.88,1.051,0.86,-0.87,K00246,6.7,1.33,0.042,-0.043,-0.035,0.049,0.094,0.19,0.13,-0.15,4.213,0.063,-0.086,7.58577575029,1.18423246114,-1.3627728986
