angDist,id_kic,m17_ra,m17_dec,ra_ep2000,dec_ep2000,errHalfMaj,errHalfMin,errPosAng,ra,dec,source_id,ref_epoch,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b
6.685464,2438406,290.31512,37.742451,290.3168907648,37.7436708371,0.000,0.000,0,290.3168907648,37.7436708371,2051104684962408064,2015.0,0.242,0.347,,,,,,,0.678,0,110,1.46945e+03,6.44433e+00,17.607,NOT_AVAILABLE,69.9667969366,10.8232729297
0.075242,2438513,290.32867,37.72311,290.3286460055,37.7231187537,0.000,0.000,0,290.3286460055,37.7231187537,2051104581883175296,2015.0,0.077,0.124,,,,,,,0.565,1,101,4.62010e+04,3.84951e+01,13.863,NOT_AVAILABLE,69.9521556980,10.8058947766
5.043698,2438513,290.32867,37.72311,290.3272621510,37.7239602000,0.000,0.000,0,290.3272621510,37.7239602000,2051104581886123136,2015.0,0.309,0.444,,,,,,,0.723,0,102,8.02697e+02,2.85926e+00,18.263,NOT_AVAILABLE,69.9524358077,10.8072477204
5.704136,2438513,290.32867,37.72311,290.3279692428,37.7216256320,0.000,0.000,0,290.3279692428,37.7216256320,2051104581886131072,2015.0,0.207,0.293,,,,,,,0.676,0,111,2.10168e+03,6.20615e+00,17.218,NOT_AVAILABLE,69.9505507360,10.8057198326
7.854125,2438513,290.32867,37.72311,290.3313645068,37.7235763070,0.004,0.004,90,290.3313645068,37.7235763070,2051104586177686912,2015.0,4.146,3.734,,,,,,,-0.512,0,49,1.17302e+02,3.77995e+00,20.352,NOT_AVAILABLE,69.9535357338,10.8041640467
0.307348,2441495,291.02185,37.769791,291.0218883093,37.7698708232,0.000,0.000,0,291.0218883093,37.7698708232,2052548103207278976,2015.0,0.074,0.105,,,,,,,0.585,0,140,6.80317e+04,2.24940e+01,13.443,NOT_AVAILABLE,70.2413698560,10.3348957085
0.124931,2443393,291.45755,37.742935,291.4575174722,37.7429117042,0.000,0.000,0,291.4575174722,37.7429117042,2052554356683193472,2015.0,0.139,0.208,,,,,,,0.402,0,133,1.62481e+05,5.02445e+01,12.498,NOT_AVAILABLE,70.3732690359,10.0147462540
5.844880,2443393,291.45755,37.742935,291.4562989773,37.7416476218,0.004,0.001,0,291.4562989773,37.7416476218,2052554360974279552,2015.0,1.416,4.366,,,,,,,0.885,0,80,3.48079e+02,2.74144e+00,19.171,NOT_AVAILABLE,70.3716827800,10.0150398949
0.449258,2444412,291.68335,37.751591,291.6832902334,37.7514754993,0.000,0.000,0,291.6832902334,37.7514754993,2051808784721409024,2015.0,0.101,0.161,,,,,,,0.444,0,124,1.66116e+05,5.16817e+01,12.474,NOT_AVAILABLE,70.4625598426,9.8591559626
0.829482,2446113,292.05676,37.776192,292.0565060405,37.7760788802,0.000,0.000,0,292.0565060405,37.7760788802,2051888568028759296,2015.0,0.099,0.158,,,,,,,0.066,0,114,7.51404e+04,3.50010e+01,13.335,NOT_AVAILABLE,70.6202332319,9.6071535470
