 KOI  KICID     Telescope Instrument  Band    PSF  delta(m)   d    Obsdate
3377   5553959  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-22
3379   2995392  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-22
3383   8078502  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-24
3384   8644365  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
3384   8644365    Pal5     PHARO        Ks    0.15   3.12    0.5   2014-07-17
3384   8644365    WIYN      DSSI     880nm    0.05   1.58    0.2   2013-09-25
3384   8644365    WIYN      DSSI     692nm    0.05   2.65    0.2   2013-09-25
3385   9489947  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-21
3386   6960487  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
3389   3848966  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
3391   9452897  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-28
3393   9085563  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-01
3394   7748487  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-28
3395   3219037  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-14
3396   5710069  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
3397   6200810  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-28
3398   3561464  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
3398   3561464    Pal5     PHARO        Ks    0.15   4.88    0.5   2014-08-13
3398   3561464    WIYN      DSSI     880nm    0.05   2.37    0.2   2013-09-23
3398   3561464    WIYN      DSSI     692nm    0.05   2.47    0.2   2013-09-23
3401   9966219    Keck     NIRC2  Br-gamma    0.05   8.51    0.5   2014-09-05
3401   9966219  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
3403  11754430  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-17
3403  11754430    Pal5     PHARO        Ks    0.15   2.92    0.5   2014-07-17
3403  11754430    WIYN      DSSI     692nm    0.05   2.45    0.2   2013-09-25
3403  11754430    WIYN      DSSI     880nm    0.05   2.61    0.2   2013-09-25
3404   8409295  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-14
3407   7131760    Lick     IRCAL         H    0.51   4.50    1.0   2013-09-18
3407   7131760  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-24
3408  11922778  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-23
3410   9285265  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-28
3411   6025124  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2015-06-03
3412   5780930  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
3413   4164393  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
3414   6023859    Keck     NIRC2        K'   99.99   7.50    0.5   2014-07-29
3414   6023859    Keck     NIRC2        K'   99.99   2.32   0.03   2014-07-29
3414   6023859  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-22
3415   3433668  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
3416   2849140  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-11-07
3417   7503885  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-14
3418   3629330  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-23
3419  11519134  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
3420   7289338  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
3421   5004909     LBT   LMIRCam        Ks   99.99  99.99  99.99   2013-10-22
3421   5004909  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
3423   3745559  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
3425   9117416    Keck     NIRC2        K'   99.99   7.10    0.5   2013-08-06
3425   9117416    Keck     NIRC2        K'   99.99   4.04   0.03   2013-08-06
3425   9117416    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-21
3425   9117416  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
3426   5900235  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-14
3428   9027909    Keck     NIRC2         J   99.99  99.99  99.99   2013-10-28
3428   9027909    Keck     NIRC2        Ks   99.99  99.99  99.99   2013-10-28
3428   9027909  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-20
3429   9230021  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-10-23
3430   7697103  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-23
3432   8738775  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-16
3433   7093401  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-21
3434   8628665  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-18
3436   6265665  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-14
3437   4645174  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-13
3438   6599975  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
3439   4282191  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
3440   3559860  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
3443   7288306  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-31
3444   5384713    CAHA  AstraLux        z'    0.17   3.82    0.5   2013-06-15
3444   5384713    CAHA  AstraLux        i'    0.17   3.46    0.5   2013-06-15
3444   5384713    Keck     NIRC2         J    0.04   8.03    0.5   2014-06-13
3444   5384713    Keck     NIRC2  Br-gamma    0.05   9.01    0.5   2014-06-13
3444   5384713    Keck     NIRC2        K'   99.99   4.03   0.03   2014-08-13
3444   5384713    Keck     NIRC2        K'   99.99   7.30    0.5   2014-08-13
3444   5384713    Keck     NIRC2        K'   99.99   8.10    0.5   2014-08-13
3444   5384713  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-25
3444   5384713    Pal5     PHARO         J    0.15   2.07    0.5   2014-08-13
3444   5384713    Pal5     PHARO        Ks    0.15   3.57    0.5   2014-08-13
3444   5384713    WIYN      DSSI     880nm    0.05   2.40    0.2   2013-09-23
3444   5384713    WIYN      DSSI     692nm    0.05   2.60    0.2   2013-09-23
3445  11860395  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-02
3448   3348216  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-22
3449  10798838  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-21
3451  10793576  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-17
3455   6947668  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-27
3456   6364582     Gem      DSSI     880nm    0.02   4.99    0.2   2015-07-20
3456   6364582     Gem      DSSI     562nm    0.02   5.40    0.2   2015-07-20
3456   6364582    Keck     NIRC2  Br-gamma    0.07   8.31    0.5   2014-09-04
3456   6364582     LBT   LMIRCam        Ks   99.99  99.99  99.99   2013-10-22
3456   6364582  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-13
3456   6364582    Pal5     PHARO  Br-gamma    0.15   5.73    0.5   2014-07-10
3456   6364582    Pal5     PHARO         J    0.24   4.64    0.5   2014-07-10
3458   6118370  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-28
3459   2717158  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-21
3460   9664276  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
3463   5294945  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2015-06-07
3465   9763612  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-29
3467   7121885  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-19
3468   5213404  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
3470   9995771  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-01
3471  11875511     Gem      DSSI     880nm    0.02   4.19    0.2   2014-07-24
3471  11875511     Gem      DSSI     692nm    0.02   4.39    0.2   2014-07-24
3471  11875511  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-11
3471  11875511    Pal5     PHARO  Br-gamma    0.35   3.78    0.5   2014-08-08
3472   9536108  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-19
3473   8905246  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-15
3474   5213230  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
3474   5213230    WIYN      DSSI     880nm    0.05   1.78    0.2   2013-09-24
3474   5213230    WIYN      DSSI     692nm    0.05   2.14    0.2   2013-09-24
3478   7742408  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2015-06-10
3480   9843517  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-03
3481   8812045  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-15
3482   7288444  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-19
3483   3101923  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-11-09
3484  10881457  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-21
3486   8121328  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
3487   9783760  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
3493   8880123  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-01
3495   9474756  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-19
3496   7517261     LBT   LMIRCam        Ks   99.99  99.99  99.99   2013-10-22
3496   7517261  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
3497   8424002    Keck     NIRC2        K'   99.99   7.70    0.5   2013-08-06
3497   8424002  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-15
3497   8424002  Pal1.5   Robo-AO        r'    0.12  99.99  99.99   2013-10-24
3497   8424002  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-24
3497   8424002  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-10-24
3497   8424002  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-10-24
3500   6058816  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-25
3500   6058816    Pal5     PHARO        Ks    0.15   2.94    0.5   2014-07-17
3500   6058816    WIYN      DSSI     692nm    0.05   2.25    0.2   2015-10-03
3500   6058816    WIYN      DSSI     880nm    0.05   2.45    0.2   2015-10-03
3503   6368175  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
3504   5471158  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2015-06-06
3506   8719419    Keck     NIRC2        K'   99.99   4.82   0.03   2013-08-07
3506   8719419    Keck     NIRC2        K'   99.99   7.80    0.5   2013-08-07
3506   8719419  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
3511   3644542    Pal5     PHARO        Ks    0.11   6.00    0.5   2013-06-28
3513   9851142    Pal5     PHARO        Ks    0.11   6.00    0.5   2013-06-28
3515   3240159  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-13
3520   3757590  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2015-06-04
3522  12021387  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2015-06-12
3527   8733497  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-15
3528   4255422    Keck     NIRC2        K'   99.99   5.37   0.03   2013-08-07
3528   4255422  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
3531   6947164  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-18
3533   4824268  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-11-09
3541   8868364  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
3545   8244173  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-24
3554   6426592    CAHA  AstraLux        i'    0.10   3.88    0.5   2013-06-28
3554   6426592  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
3557   5534965  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
3560   4848423    CAHA  AstraLux        i'    0.12   3.21    0.5   2013-07-14
3560   4848423    Lick     IRCAL         H    0.70   3.60    1.0   2013-09-17
3560   4848423  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-16
3564  10960995    CAHA  AstraLux        i'    0.34   2.73    0.5   2013-07-14
3565   9592575  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-28
3570   5023948    CAHA  AstraLux        i'    0.21   3.20    0.5   2013-07-14
3571   5113053    CAHA  AstraLux        i'    0.27   2.99    0.5   2013-07-14
3573  10068919  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-16
3581   8263746  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-18
3583   5130740  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
3588   9656543    CAHA  AstraLux        i'   99.99   4.43    0.5   2013-07-15
3597   9366988    CAHA  AstraLux        i'    0.10   3.50    0.5   2013-07-15
3602  10845188  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
3605   6137704  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-16
3606  10275074  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-21
3608  10259301  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
3611   6675060  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
3616   6058875    CAHA  AstraLux        i'    0.10   5.53    0.5   2013-07-15
3616   6058875    CAHA  AstraLux        z'    0.12   5.51    0.5   2013-07-17
3617  10735564  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-21
3620  11499263  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-03
3626  12643582  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-03
3627  10091110  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-22
3633  11858741    CAHA  AstraLux        z'    0.12   5.28    0.5   2013-07-17
3639  10491544    CAHA  AstraLux        z'    0.12   3.60    0.5   2013-06-10
3639  10491544    CAHA  AstraLux        i'    0.10   3.38    0.5   2013-06-28
3641   3534118  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-14
3647   9661869  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-23
3649   6066379    CAHA  AstraLux        i'    0.38   5.77    0.5   2013-07-17
3649   6066379  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-23
3652   8256044  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-29
3658   1575690    CAHA  AstraLux        i'   99.99   6.54    0.5   2013-07-15
3660   5103998  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-24
3663  12735740    Keck     NIRC2        K'   99.99   8.40    0.5   2014-08-13
3663  12735740    Keck     NIRC2        K'   99.99   4.88   0.03   2014-08-13
3663  12735740  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
3670   2167890    CAHA  AstraLux        z'    0.12   3.71    0.5   2013-06-12
3674   2446623  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-03
3675   9596089  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-31
3678   4150804  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-17
3678   4150804    Pal5     PHARO        Ks    0.15   2.95    0.5   2014-07-16
3680   9025971  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
3681   2581316    Keck     NIRC2        K'    0.05   8.00    0.5   2013-07-07
3681   2581316    Keck     NIRC2        K'   99.99   7.50    0.5   2014-08-12
3681   2581316    Keck     NIRC2        K'   99.99   4.84   0.03   2014-08-12
3681   2581316    Keck     NIRC2        K'   99.99   7.80    0.5   2014-08-12
3681   2581316  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
3681   2581316    WIYN      DSSI     880nm    0.05   2.50    0.2   2013-05-27
3681   2581316    WIYN      DSSI     692nm    0.05   3.05    0.2   2013-05-27
3683  10795103  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-17
3684   9394601    CAHA  AstraLux        i'    0.17   3.23    0.5   2013-07-15
3684   9394601    CAHA  AstraLux        z'    0.12   3.48    0.5   2013-07-17
3685   8494410  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-21
3689   7017372  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-13
3690   9715939  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-31
3692   5903301    CAHA  AstraLux        z'    0.12   5.95    0.5   2013-07-17
3692   5903301  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-14
3693   7695087    CAHA  AstraLux        i'    0.34   4.16    0.5   2013-06-12
3696   5435816  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
3704   2569494    CAHA  AstraLux        i'    0.10   4.25    0.5   2013-07-17
3706   7770471    CAHA  AstraLux        i'    0.10   3.79    0.5   2013-07-15
3708   6314173    CAHA  AstraLux        i'    0.10   5.74    0.5   2013-07-14
3709   2576107  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
3712   2437060    CAHA  AstraLux        i'   99.99   5.14    0.5   2013-06-12
3714  11564013    CAHA  AstraLux        i'    0.25   3.06    0.5   2013-07-14
3716   8719324  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2015-06-05
3717  11241814  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-02
3719   9837083    CAHA  AstraLux        i'    0.10   3.97    0.5   2013-07-15
3720  10735331  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-21
3721   7763269  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
3723   5471606    CAHA  AstraLux        i'    0.16   2.19    0.5   2013-07-14
3723   5471606    Pal5     PHARO  Br-gamma   99.99  99.99  99.99   2013-07-18
3725   3459199    CAHA  AstraLux        i'    0.16   3.21    0.5   2013-06-10
3726   6973796  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-29
3726   6973796    Pal5     PHARO        Ks    0.15   5.71    0.5   2015-08-30
3727  12023089    CAHA  AstraLux        i'    0.28   5.68    0.5   2013-07-13
3728   7515679    CAHA  AstraLux        i'    0.23   3.07    0.5   2013-06-11
3728   7515679  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-15
3730  10879213    CAHA  AstraLux        i'    0.10   3.78    0.5   2013-07-13
3738   5478083  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-23
3741   8780959  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-13
3742   5565486    CAHA  AstraLux        i'    0.29   2.85    0.5   2013-06-29
3744  11303811    CAHA  AstraLux        i'    0.36   4.19    0.5   2013-07-13
3749  11547869    Keck     NIRC2  Br-gamma    0.06   8.14    0.5   2014-08-11
3749  11547869  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-28
3762  11518142  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-23
3762  11518142    Pal5     PHARO        Ks    0.22   4.90    0.5   2015-08-28
3763   3114667    CAHA  AstraLux        i'    0.10   4.12    0.5   2013-07-12
3765  12109845    CAHA  AstraLux        i'    0.10   4.56    0.5   2013-07-14
3765  12109845    CAHA  AstraLux        z'    0.12   4.52    0.5   2013-07-17
3765  12109845  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-02
3767   8323764  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-21
3770   5008245  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-19
3771  10555365  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-23
3777   4075067    CAHA  AstraLux        i'    0.20   3.26    0.5   2013-06-13
3780   6775985  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
3782  11357192    Keck     NIRC2        K'   99.99   3.22   0.03   2014-08-12
3782  11357192  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-16
3783   9533489    Keck     NIRC2  Br-gamma    0.05   8.23    0.5   2014-09-04
3783   9533489  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-21
3784   5688997  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-16
3787   7813039  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
3787   7813039    Pal5     PHARO        Ks    0.15   4.29    0.5   2014-08-13
3788   9405541    CAHA  AstraLux        i'    0.29   2.78    0.5   2013-06-10
3788   9405541    Pal5     PHARO        Ks    0.11   6.00    0.5   2013-06-28
3791   5437945    Keck     NIRC2         J    0.04   7.07    0.5   2013-08-08
3791   5437945    Keck     NIRC2        K'    0.05   8.26    0.5   2013-08-08
3791   5437945  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
3793   4037163    CAHA  AstraLux        i'    0.17   5.68    0.5   2013-06-29
3794  12557548  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-02
3795   3338660    CAHA  AstraLux        i'    0.19   3.06    0.5   2013-06-28
3796   3338674    CAHA  AstraLux        i'    0.24   3.07    0.5   2013-06-11
3800   9593759    CAHA  AstraLux        i'   99.99   6.14    0.5   2013-06-13
3801   8827930    CAHA  AstraLux        i'    0.10   4.44    0.5   2013-06-11
3801   8827930  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-20
3803   6286155    CAHA  AstraLux        i'    0.10   3.61    0.5   2013-06-12
3805   4663185    CAHA  AstraLux        i'    0.20   3.29    0.5   2013-06-13
3810   5769943    CAHA  AstraLux        i'    0.10   4.64    0.5   2013-06-29
3811   4638237  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
3811   4638237    Pal5     PHARO        Ks    0.15   4.09    0.5   2014-08-13
3814   2997178    CAHA  AstraLux        i'    0.11   3.43    0.5   2013-06-12
3815   6507433  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
3817   5636642    CAHA  AstraLux        i'    0.10   3.76    0.5   2013-06-29
3818   6515722  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
3818   6515722    WIYN      DSSI     692nm    0.05   3.00    0.2   2013-09-23
3818   6515722    WIYN      DSSI     880nm    0.05   2.08    0.2   2013-09-23
3821   5956776    CAHA  AstraLux        i'    0.22   3.03    0.5   2013-06-28
3823   4820550  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
3823   4820550    Pal5     PHARO        Ks    0.15   4.29    0.5   2014-08-13
3824   6516874    CAHA  AstraLux        i'    0.10   5.00    0.5   2013-06-28
3827   5114623    CAHA  AstraLux        i'    0.10   4.09    0.5   2013-06-12
3830  10676927  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
3835   2581554    Keck     NIRC2        K'   99.99   8.60    0.5   2013-08-07
3835   2581554    Keck     NIRC2        K'   99.99   4.39   0.03   2013-08-07
3835   2581554  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
3837   9761573  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-15
3842   9532637    CAHA  AstraLux        i'   99.99   4.76    0.5   2013-07-13
3845  11824218    CAHA  AstraLux        i'    0.13   3.70    0.5   2013-06-13
3848  12784167  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
3849   8949316    CAHA  AstraLux        i'    0.10   4.38    0.5   2013-07-13
3853   2697935    CAHA  AstraLux        i'    0.22   3.03    0.5   2013-06-13
3853   2697935  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
3855   2558370  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-11-09
3864   4164922     Gem      DSSI     692nm    0.02   4.70    0.2   2014-07-19
3864   4164922     Gem      DSSI     880nm    0.02   4.38    0.2   2014-07-19
3864   4164922    Keck     NIRC2        K'   99.99   4.67   0.03   2013-08-07
3864   4164922    Keck     NIRC2        K'   99.99   8.50    0.5   2013-08-07
3864   4164922  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
3864   4164922    Pal5     PHARO        Ks    0.15   2.80    0.5   2014-07-16
3867   9353742  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
3871   9752982  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-31
3873   8430105    CAHA  AstraLux        i'    0.22   3.20    0.5   2013-06-13
3875  11911561    Keck     NIRC2        Ks    0.04   5.10    0.5   2014-07-17
3875  11911561  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-17
3876   3440118    Keck     NIRC2        K'   99.99   4.33   0.03   2014-07-31
3876   3440118    Keck     NIRC2        K'   99.99   8.00    0.5   2014-07-31
3876   3440118  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
3876   3440118    WIYN      DSSI     880nm    0.05   2.36    0.2   2015-10-24
3876   3440118    WIYN      DSSI     692nm    0.05   2.85    0.2   2015-10-24
3878   4472818     DCT      DSSI     692nm    0.04   4.00    0.2   2014-10-01
3878   4472818     DCT      DSSI     880nm    0.04   4.00    0.2   2014-10-01
3878   4472818  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2015-06-04
3880   4147444    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-20
3880   4147444  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2015-06-04
3880   4147444    Pal5     PHARO        K'    0.11   6.00    0.5   2013-06-26
3880   4147444    WIYN      DSSI     692nm    0.05   3.56    0.2   2013-05-27
3880   4147444    WIYN      DSSI     880nm    0.05   2.80    0.2   2013-05-27
3886   8848288    CAHA  AstraLux        i'    0.16   4.49    0.5   2013-06-10
3886   8848288    CAHA  AstraLux        z'    0.16   2.89    0.5   2013-06-10
3886   8848288  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-20
3886   8848288    Pal5     PHARO        Ks    0.11   6.00    0.5   2013-06-28
3889  10733174    WIYN      DSSI     692nm    0.05   2.65    0.2   2013-09-21
3889  10733174    WIYN      DSSI     880nm    0.05   2.01    0.2   2013-09-21
3890   8564976    CAHA  AstraLux        i'    0.27   4.33    0.5   2013-06-13
3890   8564976  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-20
3891   8765560    Keck     NIRC2        K'   99.99   4.59   0.03   2014-08-13
3891   8765560    Keck     NIRC2        K'   99.99   8.00    0.5   2014-08-13
3891   8765560  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
3892  11760860     DCT      DSSI     880nm    0.04   3.82    0.2   2014-10-01
3892  11760860     DCT      DSSI     692nm    0.04   3.91    0.2   2014-10-01
3892  11760860    Keck     NIRC2        K'   99.99   4.88   0.03   2014-08-12
3892  11760860    Keck     NIRC2        K'   99.99   7.70    0.5   2014-08-12
3892  11760860  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-17
3893   3728432  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-21
