 KOI  KICID     Telescope Instrument  Band    PSF  delta(m)   d    Obsdate
  63  11554435    Lick     IRCAL        Ks    0.20   8.00    1.0   2011-06-18
  63  11554435  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
  63  11554435    Pal5     PHARO  Br-gamma    0.16   5.41    0.5   2014-08-10
  63  11554435    WIYN      DSSI     562nm    0.05   3.62    0.2   2010-09-17
  63  11554435    WIYN      DSSI     692nm    0.05   3.64    0.2   2010-09-17
  64   7051180    Keck     NIRC2        K'   99.99   3.08   0.03   2012-08-12
  64   7051180  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
  64   7051180    Pal5     PHARO         J    0.16   5.66    0.5   2009-09-10
  64   7051180    WIYN      DSSI     692nm    0.05   2.07    0.2   2010-09-17
  64   7051180    WIYN      DSSI     562nm    0.05   2.95    0.2   2010-09-17
  68   8669092    Pal5     PHARO         J    0.08   6.08    0.5   2009-09-07
  68   8669092    WIYN      DSSI     692nm    0.05   3.17    0.2   2010-06-21
  68   8669092    WIYN      DSSI     562nm    0.05   1.78    0.2   2010-06-21
  68   8669092    WIYN      DSSI     692nm    0.05   2.91    0.2   2010-06-22
  68   8669092    WIYN      DSSI     562nm    0.05   2.48    0.2   2010-06-22
  68   8669092    WIYN      DSSI     562nm    0.05   2.81    0.2   2010-09-17
  68   8669092    WIYN      DSSI     692nm    0.05   2.36    0.2   2010-09-17
  68   8669092    WIYN      DSSI     692nm    0.05   2.20    0.2   2010-09-18
  68   8669092    WIYN      DSSI     562nm    0.05   3.07    0.2   2010-09-18
  69   3544595    CAHA  AstraLux        i'    0.86   1.46    0.5   2013-06-22
  69   3544595    Keck     NIRC2        K'   99.99   6.20    0.5   2012-07-05
  69   3544595    Keck     NIRC2        K'   99.99   7.80    0.5   2012-07-05
  69   3544595    Keck     NIRC2        K'   99.99   3.87   0.03   2012-07-05
  69   3544595    Keck     NIRC2        K'    0.10   8.00    1.0   2013-06-13
  69   3544595     MMT     ARIES         J    0.20   8.00    1.0   2010-05-04
  69   3544595     MMT     ARIES        Ks    0.15   8.00    1.0   2010-05-04
  69   3544595  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
  69   3544595  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
  69   3544595    Pal5     PHARO         J    0.06   6.93    0.5   2009-09-08
  69   3544595    WIYN      DSSI     692nm    0.05   3.87    0.2   2010-06-18
  69   3544595    WIYN      DSSI     562nm    0.05   2.33    0.2   2010-06-18
  69   3544595    WIYN      DSSI     692nm    0.05   3.85    0.2   2010-09-17
  69   3544595    WIYN      DSSI     562nm    0.05   3.75    0.2   2010-09-17
  70   6850504    Keck     NIRC2        K'   99.99   5.50    0.5   2012-05-06
  70   6850504    Keck     NIRC2        K'   99.99   5.00   0.03   2012-05-06
  70   6850504    Keck     NIRC2        K'   99.99   8.10    0.5   2012-05-06
  70   6850504    Lick     IRCAL        Ks    0.20   8.00    1.0   2011-06-17
  70   6850504    Lick     IRCAL         J    0.20   8.00    1.0   2011-06-17
  70   6850504  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
  70   6850504    Pal5     PHARO         J    0.07   6.87    0.5   2009-09-09
  70   6850504    WIYN      DSSI     692nm    0.05   3.52    0.2   2010-06-18
  70   6850504    WIYN      DSSI     562nm    0.05   2.34    0.2   2010-06-18
  70   6850504    WIYN      DSSI     562nm    0.05   3.07    0.2   2010-09-17
  70   6850504    WIYN      DSSI     692nm    0.05   2.70    0.2   2010-09-17
  72  11904151    Keck     NIRC2        K'   99.99   7.90    0.5   2012-08-14
  72  11904151    Keck     NIRC2        K'   99.99   6.50    0.5   2012-08-14
  72  11904151    Keck     NIRC2        K'   99.99   4.34   0.03   2012-08-14
  72  11904151     MMT     ARIES         J    0.20   8.00    1.0   2010-05-04
  72  11904151     MMT     ARIES        Ks    0.15   8.00    1.0   2010-05-04
  72  11904151  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-07-16
  72  11904151    Pal5     PHARO         J    0.07   6.84    0.5   2009-09-07
  72  11904151    WIYN      DSSI     562nm    0.05   2.73    0.2   2010-06-18
  72  11904151    WIYN      DSSI     692nm    0.05   3.88    0.2   2010-06-18
  72  11904151    WIYN      DSSI     562nm    0.05   4.00    0.2   2010-09-17
  72  11904151    WIYN      DSSI     692nm    0.05   3.62    0.2   2010-09-17
  74   6889235    WIYN      DSSI     692nm    0.05   3.26    0.2   2010-06-19
  74   6889235    WIYN      DSSI     562nm    0.05   1.82    0.2   2010-06-19
  74   6889235    WIYN      DSSI     562nm    0.05   4.08    0.2   2010-09-17
  74   6889235    WIYN      DSSI     692nm    0.05   3.31    0.2   2010-09-17
  75   7199397     Gem      DSSI     692nm    0.02   4.63    0.2   2014-07-25
  75   7199397     Gem      DSSI     880nm    0.02   4.68    0.2   2014-07-25
  75   7199397    Keck     NIRC2        K'   99.99   7.80    0.5   2012-07-08
  75   7199397    Keck     NIRC2        K'   99.99   6.90    0.5   2012-07-08
  75   7199397    Keck     NIRC2        K'   99.99   4.23   0.03   2012-07-08
  75   7199397     MMT     ARIES        Ks    0.15   8.00    1.0   2010-09-24
  75   7199397     MMT     ARIES         J    0.20   8.00    1.0   2010-09-24
  75   7199397  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
  75   7199397  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
  75   7199397    Pal5     PHARO         J    0.08   6.71    0.5   2009-09-10
  75   7199397    WIYN      DSSI     692nm    0.05   3.72    0.2   2010-09-17
  75   7199397    WIYN      DSSI     562nm    0.05   3.86    0.2   2010-09-17
  75   7199397    WIYN      DSSI     692nm    0.05   2.55    0.2   2010-09-20
  75   7199397    WIYN      DSSI     562nm    0.05   2.94    0.2   2010-09-20
  76   9955262     MMT     ARIES         J    0.20   8.00    1.0   2010-09-26
  76   9955262     MMT     ARIES        Ks    0.15   8.00    1.0   2010-09-26
  76   9955262  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
  76   9955262    Pal5     PHARO         J    0.16   5.36    0.5   2014-07-11
  76   9955262    Pal5     PHARO  Br-gamma    0.10   6.36    0.5   2014-07-11
  76   9955262    WIYN      DSSI     562nm    0.05   4.25    0.2   2010-09-17
  76   9955262    WIYN      DSSI     692nm    0.05   3.84    0.2   2010-09-17
  76   9955262    WIYN      DSSI     692nm    0.05   3.40    0.2   2010-09-18
  76   9955262    WIYN      DSSI     562nm    0.05   4.22    0.2   2010-09-18
  80   9552608    WIYN      DSSI     562nm    0.05   3.68    0.2   2010-09-17
  80   9552608    WIYN      DSSI     692nm    0.05   2.94    0.2   2010-09-17
  80   9552608    WIYN      DSSI     692nm    0.05   3.00    0.2   2010-09-21
  80   9552608    WIYN      DSSI     880nm    0.05   2.89    0.2   2010-09-21
  81   8823868    WIYN      DSSI     692nm    0.05   3.25    0.2   2010-06-21
  81   8823868    WIYN      DSSI     562nm    0.05   2.13    0.2   2010-06-21
  81   8823868    WIYN      DSSI     692nm    0.05   3.04    0.2   2010-09-17
  81   8823868    WIYN      DSSI     562nm    0.05   3.94    0.2   2010-09-17
  81   8823868    WIYN      DSSI     692nm    0.05   3.03    0.2   2010-09-18
  81   8823868    WIYN      DSSI     562nm    0.05   3.53    0.2   2010-09-18
  82  10187017    CAHA  AstraLux        i'    0.32   2.74    0.5   2013-06-23
  82  10187017    Keck     NIRC2        K'   99.99   4.99   0.03   2012-05-06
  82  10187017    Keck     NIRC2        K'   99.99   8.50    0.5   2012-05-06
  82  10187017    Keck     NIRC2        K'   99.99   7.10    0.5   2012-05-06
  82  10187017    Keck     NIRC2        K'    0.10   8.00    1.0   2013-06-13
  82  10187017     MMT     ARIES        Ks    0.15   8.00    1.0   2010-05-04
  82  10187017     MMT     ARIES         J    0.20   8.00    1.0   2010-05-04
  82  10187017  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
  82  10187017  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
  82  10187017    WIYN      DSSI     692nm    0.05   3.46    0.2   2010-06-18
  82  10187017    WIYN      DSSI     562nm    0.05   3.33    0.2   2010-06-18
  82  10187017    WIYN      DSSI     692nm    0.05   3.37    0.2   2010-06-20
  82  10187017    WIYN      DSSI     562nm    0.05   2.22    0.2   2010-06-20
  84   2571238    Keck     NIRC2        K'   99.99   7.60    0.5   2012-08-13
  84   2571238    Keck     NIRC2        K'   99.99   5.49   0.03   2012-08-13
  84   2571238    Keck     NIRC2        K'   99.99   8.60    0.5   2012-08-13
  84   2571238  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
  84   2571238    Pal5     PHARO         J    0.09   6.28    0.5   2009-09-09
  84   2571238    WIYN      DSSI     562nm    0.05   1.75    0.2   2010-06-18
  84   2571238    WIYN      DSSI     692nm    0.05   3.26    0.2   2010-06-18
  85   5866724    Keck     NIRC2        K'   99.99   7.20    0.5   2012-08-14
  85   5866724    Keck     NIRC2        K'   99.99   3.60   0.03   2012-08-14
  85   5866724    Keck     NIRC2        K'   99.99   5.60    0.5   2012-08-14
  85   5866724     MMT     ARIES         J    0.20   8.00    1.0   2010-05-04
  85   5866724     MMT     ARIES        Ks    0.15   8.00    1.0   2010-05-04
  85   5866724  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
  85   5866724    Pal5     PHARO        Ks   99.99  99.99  99.99   2013-07-17
  85   5866724    WIYN      DSSI     692nm    0.05   4.26    0.2   2010-06-22
  85   5866724    WIYN      DSSI     562nm    0.05   4.29    0.2   2010-06-22
  87  10593626    Keck     NIRC2        K'   99.99   3.07   0.03   2012-08-14
  87  10593626    Keck     NIRC2        K'   99.99   5.50    0.5   2012-08-14
  87  10593626  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
  87  10593626    Pal5     PHARO        Ks    0.10   8.00    1.0   2010-07-03
  87  10593626    Pal5     PHARO         J    0.10   8.00    1.0   2010-07-03
  87  10593626    WIYN      DSSI     880nm    0.05   2.48    0.2   2010-09-21
  87  10593626    WIYN      DSSI     692nm    0.05   3.66    0.2   2010-09-21
  88   7700871     MMT     ARIES        Ks    0.15   8.00    1.0   2009-11-09
  88   7700871    WIYN      DSSI     692nm    0.05   2.17    0.2   2010-09-17
  88   7700871    WIYN      DSSI     562nm    0.05   3.57    0.2   2010-09-17
  89   8056665    Keck     NIRC2        K'   99.99   4.32   0.03   2012-07-06
  89   8056665    Keck     NIRC2        K'   99.99   5.20    0.5   2012-07-06
  89   8056665    Keck     NIRC2        K'   99.99   8.10    0.5   2012-07-06
  89   8056665    Lick     IRCAL         J    0.33   2.74    0.5   2011-09-08
  89   8056665  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
  89   8056665    Pal5     PHARO        Ks   99.99  99.99  99.99   2013-07-17
  89   8056665    WIYN      DSSI     880nm    0.05   2.08    0.2   2011-06-13
  89   8056665    WIYN      DSSI     692nm    0.05   2.87    0.2   2011-06-13
  92   7941200    Keck     NIRC2        K'   99.99   7.80    0.5   2013-08-06
  92   7941200    Keck     NIRC2        K'   99.99   5.20   0.03   2013-08-06
  92   7941200    Keck     NIRC2        K'   99.99   8.40    0.5   2013-08-06
  92   7941200  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
  92   7941200    Pal5     PHARO         J    0.10   8.00    1.0   2010-07-01
