 KOI   ID  KICID(primary) KICID(companion)  d["]   d_unc  PA[deg]  PA_unc   U        U_unc     B        B_unc     V        V_unc    F555W   F555W_unc  F775W   F775W_unc   i        i_unc     z       z_unc      LP600  LP600_unc   562    562_unc     692    692_unc     880    880_unc     J        J_unc     H        H_unc     K        K_unc
  157   C      6541920     6541920_blend   3.872   0.050   310.3    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.205    0.051
  158   B     10555375    10555375_blend   2.918   0.050   212.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.791    0.126    99.990   99.990    99.990   99.990
  160   B      6631721     6631721_blend   3.102   0.089    38.2    1.0    99.990   99.990    99.990   99.990     4.782    0.076    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.902    0.030    99.990   99.990    99.990   99.990
  161   B      5084942     5084942_blend   2.722   0.066   172.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.365    0.037    99.990   99.990     5.075    0.010
  161   C      5084942     5084942_blend   3.205   0.050   269.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.811    0.044
  162   B      8107380     8107380_blend   0.290   0.050   117.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.810    0.290    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
  162   C      8107380     8107380_blend   3.286   0.050   357.2    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.764    0.178    99.990   99.990    99.990   99.990
  163   B      6851425     6851425_blend   1.220   0.050   214.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    -0.360    0.030    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
  170   B     11044770    11044770_blend   3.188   0.050   161.4    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.893    0.010    99.990   99.990    99.990   99.990
  174   B     10810838    10810838_blend   0.565   0.069    76.9    4.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.430    0.440    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.568    0.020
  177   B      6803202     6803202_blend   0.232   0.050   215.8    3.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.970    0.350    99.990   99.990    99.990   99.990    99.990   99.990     0.821    0.198     0.613    0.233    99.990   99.990    99.990   99.990     0.185    0.010
  177   C      6803202     6803202_blend   2.286   0.050   258.4    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.870    0.012
  177   D      6803202     6803202_blend   2.871   0.050   134.3    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.535    0.045
  182   B      5376836     5376836_blend   3.346   0.117   251.3    1.4    99.990   99.990    99.990   99.990     4.790    0.085    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.953    0.094    99.990   99.990    99.990   99.990
  190   B      5771719     5771719_blend   0.191   0.055   105.0    3.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.330    0.180    99.990   99.990     1.458    0.276     1.700    0.150    99.990   99.990    99.990   99.990     0.640    0.140
  191   B      5972334     5972334_blend   1.672   0.053    96.1    1.6    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.746    0.023     3.049    0.038     3.090    0.490    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
  193   B     10799735    10799735_blend   2.682   0.147   137.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.070    0.020    99.990   99.990    99.990   99.990    99.990   99.990     3.216    0.053    99.990   99.990    99.990   99.990
